name,desc,tags,price,cicle,spec,new_spec,pay_type,desc_process,lof_label,labels
微购儿美容美妆预约小程序家政上门服务,微购儿美容美妆小程序是一款针对美容整形、美甲预约、化妆品销售、宠物店、家政服务等多行业的线上服务平台，商家可通过小程序发布服务信息、产品信息，利用小程序中的营销插件进行引流获客，提升销售业绩。用户可通过小程序下单商品、预约服务，一键导航到店。,,0.0,7天,营销版,营销版,2.0,美容 美妆 小程序 一款 针对 美容 整形 美甲 预约 化妆品 销售 宠物店 家政 服务 行业 线上 服务平台 商家 小程序 发布 服务 信息 产品 信息 利用 小程序 中 营销 插件 进行 引流 获客 提升 销售 业绩 用户 小程序 下单 商品 预约 服务 一键 导航 店,1,2
企业官网智能建站（免费送推广）,耐思智慧为您提供企业官网搭建，覆盖PC网站+手机站+平板站+微站四大平台，无需代码，仅需拖拽，即可快速完成高质量网站，助您抢占PC端和移动端流量，系统每天自动为您写文章，维护网站，让更多客户通过搜索引擎找到您！,建站系统，企业网站，电商网站，模板建站,1200.0,1年,营销商城套餐（新增中国香港节点）,营销商城套餐（新增中国香港节点）,2.0,耐思 智慧 官网 搭建 覆盖 PC 网站 手机 站 平板 站 微站 四大 平台 无需 代码 需 拖拽 即可 快速 完成 高质量 网站 助您 抢占 PC 端 移动 端 流量 系统 每天 自动 写文章 维护 网站 更 客户 搜索引擎 找到,1,0
微盛党建小程序,问卷调查、谈话谈心，实时记录,党建,10428.57143,7天,f4-标准版,f4-标准版,2.0,问卷调查 谈话 谈心 实时 记录,1,3
运营商手机在网时长-三网手机在网时长-三网运营商入网时长-三网手机在网时长查询（支持携号转网）,【运营商手机号在网时长手机在网时长】传入手机号码，查询该手机号的在网时长，返回时间区间，支持携号转网号码查询。（温馨提示：运营商通道质量差异较大，可多找样本测试比较。聚美仅提供优质实时运营商通道，准确率99.99%，无需复核，需要低价非实时通道可另行选择） —— 我们只做精品！,,0.2,1年,1.00元/5次,0.2,0.0,运营商 手机号 网时长 手机 网时长 传入 手机号码 查询 手机号 网时长 返回 时间 区间 支持 携号 转网 号码 查询 温馨 提示 运营商 通道 质量 差异 较大 可多 找 样本 测试 比较 聚美仅 优质 实时 运营商 通道 准确率  无需 复核 需要 低价 非 实时 通道 另行 选择 只 做 精品,1,3
企微管家：标准版,提供丰富智能化工具，高效管理人员与应用,企业微信，客户管理,365000.0,7天,标准版（限60人使用）,标准版（限60人使用）,2.0,丰富 智能化 工具 高效 管理人员 应用,1,2
微购儿房产中介小程序二手房买卖房屋出租预约看房,微购儿 微信房产小程序支持在线售房二手房买卖中介出租功能小程序，微购儿小程序 无需代码 一键生成 瞬间拥有！,,0.0,7天,旗舰版,旗舰版,2.0,微信 房产 小程序 支持 在线 售房 二手房 买卖 中介 出租 小程序 小程序 无需 代码 一键 生成 瞬间 拥有,1,0
微盛零售门店小程序,覆盖周边五公里，拓展销售渠道,零售，多门店,1000.0,1年,c6-增选1门店,c6-增选1门店,2.0,覆盖 周边 五公里 拓展 销售 渠道,1,3
分销商城小程序+APP（直播+手机管理后台）,功能：直播、手机端管理后台、可视化DIY、秒杀、拼团、砍价、抽奖、裂变红包、三级分销、商品预售、超级会员卡、优惠券、积分商城等30余款营销功能。百度小程序、抖音头条小程序、支付宝小程序、微信小程序，云尚航歌商城，小程序+APP，无需开发一键启用，心归零快速搭建！,电商，超市，零售，多门店，O2O，拼团，扫码买单,104.2857143,7天,基础版,基础版,2.0,直播 手机 端 管理 后台 可视化 DIY 秒杀 拼团 砍价 抽奖 裂变 红包 三级 分销 商品 预售 超级 会员卡 优惠券 积分 商城  余款 营销 百度 小程序 抖音 头条 小程序 支付宝 小程序 微信 小程序 云尚 航歌 商城 小程序 APP 无需 开发 一键 启用 心 归零 快速 搭建,1,0
Windows 10 专业版 64位 中文版 21H1版win10 ,windows 10 专业版 64位 中文版纯净系统，版本号 21H1。此为2021年8月20日最新发布的win10系统。win10相比win11更加流畅。操作系统补丁已经更新至2021年8月22日0时。专业版功能强大，适用于任意场景。经过腾讯云漏扫无安全漏洞。,,0.0,-1,-1,-1,,windows 专业版  位 中文版 纯净 系统 版本号 H 此为  年  月  日 最新 发布 win 系统 win 相比 win 流畅 操作系统 补丁 已经 更新  年  月  日  时 专业版 功能强大 适用 任意 场景 腾讯 云漏 扫 无 安全漏洞,1,3
H5响应式建站【多端适配】,"网站一律自适应 ①五站合一（电脑/平板/手机/微信/小程序）一个后台管理多个终端。②标配云服务器，赠送二级域名，赠送SSL加密证书。
③1对1专属服务，提供备案服务 ④模板库：www.71net.com/jianzhan/template ",手机网站，企业网站，营销网站，微信网站，H5网站,1204.5,30天,标准版,标准版,2.0,网站 一律 适应 五 站 合一 电脑 平板 手机 微信 小程序 后台 管理 多个 终端 标配 云 服务器 赠送 二级域名 赠送 SSL 加密 证书   专属 服务 备案 服务 模板 库 wwwnetcomjianzhantemplate,1,0
运营商实名认证-手机三要素实名认证-三网手机实名认证-手机号三要素验证-手机三要素验证-手机实名认证,【低至0.2】【运营商实名认证-三网手机实名认证-运营商三要素验证-三网手机号实名认证-运营商三要素核验-手机号三要素实名认证-手机三要素实名认证-三网手机实名认证-手机号三要素验证-手机三要素验证-手机实名认证-运营商实名认证】通过手机号、真实姓名、身份证号来校验三者是否一致。,,0.22,1年,2.20元/10次,0.22,0.0,低至  运营商 实名 认证 三网 手机 实名 认证 运营商 三要素 验证 三网 手机号 实名 认证 运营商 三要素 核验 手机号 三要素 实名 认证 手机 三要素 实名 认证 三网 手机 实名 认证 手机号 三要素 验证 手机 三要素 验证 手机 实名 认证 运营商 实名 认证 手机号 真实 姓名 身份证号 校验 三者 是否 一致,1,3
手机三要素认证-手机三要素验证-手机三要素认证API-手机三要素验证接口,手机三要素认证-手机三要素验证-手机三要素认证API-手机三要素验证接口，输入手机号、姓名和身份证号，通过官方权威核查，实时校验此三要素是否一致，支持三大运营商，支持携号转网，实时查询，直连官方,,0.333333,1年,1.00元/3次,0.333333,0.0,手机 三要素 认证 手机 三要素 验证 手机 三要素 认证 API 手机 三要素 验证 接口 输入 手机号 姓名 身份证号 官方 权威 核查 实时 校验 三要素 是否 一致 支持 三大 运营商 支持 携号 转网 实时 查询 直连 官方,1,0
微宝阁智能酒店 智能预定  线上线下互引流  酒店服务小程序,微宝阁小程序覆盖各行业微信小程序，提供全方位的小程序成新解决方案主要包括电商、o2o服务、餐饮外卖、预约排队、运动健身、婚纱摄影等,酒店,36.5,10天,智慧酒店版,智慧酒店版,2.0,小程序 覆盖 行业 微信 小程序 全方位 小程序 成新 解决方案 主要 电商 oo 服务 餐饮 外卖 预约 排队 运动 健身 婚纱 摄影,1,0
空号检测,【手机号空号检测】通过手机号码查询其在网活跃度，返回包括空号、实号、停机、库无、沉默号、风险号等状态。运营商接口，非缓存库，准确率90%以上，欢迎测试选购。—— 我们只做精品！,,0.008,1年,2.00元/250次,0.008,0.0,手机号 空 号 检测 手机号码 查询 网 活跃度 返回 空号 实号 停机库 无 沉默 号 风险 号 状态 运营商 接口 非 缓存 库 准确率  以上 欢迎 测试 选购 只 做 精品,1,3
微购儿餐饮外卖商家入驻连锁门店管理小程序,购儿绿色通道：购买正式版，支持免费进行微信认证，节省300元/年。 核心功能：美食吃货直播、餐饮平台商家入驻，商家独立管理后台，支持餐饮公众号版本，支持精确定位，数十款营销和工具，支持对接同城配送系统，如蜂鸟配送，达达配送，顺丰配送等，微购儿小程序，无需代码 一键生成 瞬间拥有！,,0.0,7天,餐饮单店版+商家手机管理端,餐饮单店版+商家手机管理端,2.0,购儿 绿色通道 购买 正式版 支持 免费 进行 微信 认证 节省  元年 核心 美食 吃货 直播 餐饮 平台 商家 入驻 商家 独立 管理 后台 支持 餐饮 公众 号 版本 支持 精确定位 数十款 营销 工具 支持 对接 城 配送 系统 蜂鸟 配送 配送 顺丰 配送 微 购儿 小程序 无需 代码 一键 生成 瞬间 拥有,1,0
壹佳店·同城跑腿,同城跑腿,,680.0,1年,旗舰版,旗舰版,2.0,城 跑腿,1,3
IT互联网行业模板 - 友好速搭,友好速搭企业官网建站，无需开发与设计，60秒上线高品质网站，多类行业模板，跨屏适配 PC、平板、手机和微站、小程序，随心所欲调整布局，无处不在的流畅体验。,IT互联网,12.0,1个月,标准版,标准版,2.0,友好 速 搭 官网 建站 无需 开发 设计  秒 上线 高品质 网站 类 行业 模板 跨屏 适配 PC 平板 手机 微站 小程序 随心所欲 调整布局 无处不在 流畅 体验,1,3
【2月特惠】短信验证码-三网短信通知-短信接口-短信API-验证码接口-短信,短信验证码接口适用于注册登录、找回密码、支付验证、会员通知提醒等场景，支持三大运营商，快至3秒可达，99%到达率。不留存客户数据，为您提供稳定高效的数据接口和行业解决方案。申请短信模板需提供营业执照审核【短信营销、短信接口、短信验证码、短信通知、短信群发、70字短信】,,0.04,1年,1.00元/25次,0.04,0.0,短信 验证码 接口 适用 注册 登录 找回 密码 支付 验证 会员 通知 提醒 场景 支持 三大 运营商 快至  秒 可达  到达 率 不 留存 客户 数据 稳定 高效 数据 接口 行业 解决方案 申请 短信 模板 需 营业执照 审核 短信 营销 短信 接口 短信 验证码 短信 通知 短 信群发  短信,1,0
[安全、稳定、高效]身份证实名认证,【身份证实名认证-身份证二要素验证】输入姓名、身份证号码两项数据进行验证，根据公安系统实际验证结果反馈一致、不一致或其他错误原因。作为权威的数据服务平台，我们提供更可靠、安全、高效的验证环境,,0.016667,1年,1.00元/60次,0.016667,0.0,身份证 实名 认证 身份证 二要素 验证 输入 姓名 身份证 号码 两项 数据 进行 验证 公安系统 实际 验证 反馈 一致 不 一致 错误 原因 权威 数据 服务平台 更 可靠 安全 高效 验证 环境,1,0
有调易店多商户电商小程序,"购买正式版，支持免费进行微信认证，节省300元/年。支持免费申请0.3微信支付税率商户号。
核心功能：三级分销、直播、手机端管理、DIY设计、批发、多商户、会员、拼团、秒杀、砍价、表单、卡密等。集公众号、H5、微信、百度、支付宝、字节跳动七个渠道为一体。
赠送一对一售后服务支持。",电商，超市，零售，多商户，小程序商城,1880.0,1年,体验版,体验版,2.0,购买 正式版 支持 免费 进行 微信 认证 节省  元年 支持 免费 申请  微信 支付 税率 商户 号 核心 三级 分销 直播 手机 端 管理 DIY 设计 批发 商户 会员 拼团 秒杀 砍价 表单 卡密 集 公众 号 H 微信 百度 支付宝 字节 跳动 七个 渠道 一体 赠送 一对一 售后服务 支持,1,0
银行卡实名认证-银行卡实名认证二要素-银行卡实名认证三要素-银行卡实名认证四要素-银行卡实名认证,银行卡实名认证-银行卡-银行卡实名认证-银行卡实名-银行卡实名认证-银行卡二三四实名认证-银行卡四要素实名认证-银行卡三要素实名认证-银行卡二要素实名认证-银行卡实名校验，银行卡全能校验。直连银联，权威核验。【传入银行卡、姓名、身份证、手机号此四要素校验是否一致。】,,0.166667,1年,1.00元/6次,0.166667,0.0,银行卡 实名 认证 银行卡 银行卡 实名 认证 银行卡 实名 银行卡 实名 认证 银行卡 二 三四 实名 认证 银行卡 四 要素 实名 认证 银行卡 三要素 实名 认证 银行卡 二要素 实名 认证 银行卡 实名 校验 银行卡 全能 校验 直连 银联 权威 核验 传入 银行卡 姓名 身份证 手机号 此四 要素 校验 是否 一致,1,1
快启获客智能营销云平台,公司开发、运营的快启智慧销售平台，致力于用大数据和人工智能（AI）技术，为销售获取和管理客户，帮助企业提升效率、增加营收。快启通过对全网企业数据挖掘、分析和重构，建立了亿级企业信息数据库。快启智能AI机器人帮助销售快速触达。快启CRM智能客户管理，盘活资源。,CRM，营销自动化，获客，机器人,27580.0,1年,快启获客云平台年版2线路,快启获客云平台年版2线路,2.0,开发 运营 启 智慧 销售 平台 致力于 大数据 人工智能 AI 技术 销售 获取 管理 客户 帮助 提升 效率 增加 营收 快启 全网 数据挖掘 分析 重构 建立 亿级 信息 数据库 快启 智能 AI 机器人 帮助 销售 快速 触达 快启 CRM 智能 客户 管理 盘活 资源,1,0
快递物流单号查询-快递查询-快递物流查询-快递单号查询-自动识别单号-快递轨迹单号查询标准版,【快递查询物流查询快递物流单号查询】自动识别快递公司，支持一千多家快递公司，覆盖顺丰、申通、圆通、宅急送、韵达、中通、百世、天天、四通一达、京东、EMS等快递物流公司，与官网同步数据更新。—— 我们只做精品！,,0.005,1年,2.00元/400次,0.005,0.0,快递 查询 物流 查询 快递 物流 单 号 查询 自动识别 快递 支持 一千多家 快递 覆盖 顺丰 申通 圆通 宅急送 韵达 中通 百世 天天 四通 一达 京东 EMS 快递 物流 官网 同步 数据 更新 只 做 精品,1,3
企业官网-商城营销套餐（送分站推广）,建站宝盒，只做有用的网站，打造企业/商家自有的电商平台，24h在线卖货。 支持支付宝、微信等支付方式，页面SEO智能优化收录快。专属会员系统，随时管理客户数据，提高运营效率。海量网站模板任意切换，一键安装套用。  咨询电话>>18928068270,企业网站，B2C商城，商城网站,19152.0,1个月,企业商城网站套餐,企业商城网站套餐,2.0,建 站 宝盒 只 做 有用 网站 打造 商家 自有 电商 平台 h 在线 卖货 支持 支付宝 微信 支付 方式 页面 SEO 智能 优化 收录 专属 会员 系统 随时 管理 客户 数据 提高 运营 效率 海量 网站 模板 任意 切换 一键 安装 套用 咨询电话 ,1,2
同城信息发布社区圈子商家入驻招聘,微购儿同城信息小程序是一款专注于本地大型生活服务平台，同城资讯、商家入驻、便民黄页、求职招聘、房屋租赁、同城交友、同城租车、电商零售、服务预约应有尽有，为城市创业者提供一站式解决方案，为小程序用户提供同城便捷服务。,,0.0,7天,商家入驻销售版,商家入驻销售版,2.0,同城 信息 小程序 一款 专注 本地 大型 生活 服务平台 城 资讯 商家 入驻 便民 黄页 求职 招聘 房屋 租赁 城 交友 城 租车 电商 零售 服务 预约 应有尽有 城市 创业者 一站式 解决方案 小程序 用户 城 便捷 服务,1,3
身份证识别-身份证OCR识别-身份证正反面识别-身份证照片识别,【传入身份证照片，识别照片文字信息并返回，包括姓名、身份证号码、性别、民族、出生年月日、地址、签发机关及有效期。】身份证正面图片识别-身份证正反面识别-身份证OCR识别-身份证照片文字识别。支持各种图片格式。,图像识别，数据应用，证件识别，实名认证,0.02,1年,1.00元/50次,0.02,0.0,传入 身份证 照片 识别 照片 文字 信息 返回 姓名 身份证 号码 性别 民族 出生年月 日 地址 签发 机关 有效期 身份证 正面 图片 识别 身份证 正反面 识别 身份证 OCR 识别 身份证 照片 文字 识别 支持 图片格式,1,3
销冠餐饮小程序·扫码点餐外餐小程序,功能：单店外卖小程序版、多店商家版、三级分销、会员卡、发券宝、多商户入驻、票务、集赞拓客、裂变红包、砍价、拼团、秒杀、抽奖、直播、社区团购、限时抢券、消息推送、卡密串码、分享海报、主体配色会员卡、卡券、等功能持续开发。,外卖，餐饮，扫码买单，预约，一桌一码，扫码点餐，排队，打印小票,52.14285714,7天,正式版,正式版,2.0,单店 外卖 小程序 版多店 商家 版 三级 分销 会员卡 发券宝 商户 入驻 票务 集赞 拓客 裂变 红包 砍价 拼团 秒杀 抽奖 直播 社区 团购 限时 抢券 消息 推送 卡密 串码 分享 海报 主体 配色 会员卡 卡券 持续 开发,1,3
至信链存证,至信链由腾讯、中国网安、枫调理顺三家企业联合建设的可信存证区块链平台，已有十余家社会各界公信力机构作为节点加入。至信链可为信息互联网提供各类“信任”解决方案，通过区块链技术，联通信息社会下的商业端与司法端，搭建了从电子数据到电子证据的可信通道，实现电子数据可信保存、合法使用。,,10000.0,1年,3万条存证套餐包,3万条存证套餐包,2.0,信链 腾讯 中国 网安枫 调 理顺 三家 联合 建设 可信 存证 区块 链 平台 已有 十余家 社会各界 公信力 机构 节点 加入 信链 可为 信息 互联网 各类 信任 解决方案 区块 链 技术 联通 信息 社会 下 商业 端 司法 端 搭建 电子 数据 电子 证据 可信 通道 实现 电子 数据 可信 保存 合法,1,3
人脸身份证比对-人证比对-人脸识别-人脸比对,"【传入姓名、身份证号和一张人像照片，与公安库身份证信息进行比对，返回比对分值。 】人证比对、人脸认证、人像对比、实人认证、活体识别、人证合一、人脸比对、刷脸认证、真人认证。【官方直连数据，服务稳定，实时更新】
",,0.1,1年,1.00元/10次,0.1,0.0,传入 姓名 身份证号 一张 人像 照片 公安 库 身份证 信息 进行 返回 分值 人证 人脸 认证 人像 对比 实人 认证 活体 识别 人证 合一 人脸 刷 脸 认证 真人 认证 官方 直连 数据服务 稳定 实时 更新,1,3
壹佳店·电商零售+多门店+多商户+各行业小程序,一键生成小程序。50+技术团队，个性化需求支持定制开发。单店多店/自营多商户通用；会员拉新、充值、卡券、积分、优惠券、红包、抽奖、拼团、预约、秒杀、砍价、等级分销、社区团购，全行业解决方案；,,680.0,1年,旗舰版,旗舰版,2.0,一键 生成 小程序  技术 团队 个性化 需求 支持 定制 开发 单店 多店 自营 商户 通用 会员 拉新 充值卡 券 积分 优惠券 红包 抽奖 拼团 预约 秒杀 砍价 等级 分销 社区 团购 全 行业 解决方案,1,0
银行卡四要素-银行卡四要素查询-银行卡四要素验证-银行卡四要素API-银行卡四要素实名认证,"银行卡四要素-银行卡四要素查询-银行卡四要素验证-银行卡四要素API-银行卡四要素实名认证，核验 ""姓名+身份证号+手机号+银行卡号"" 四要素是否一致。 直连银联实时校验，支持所有带银联标识的银行卡。",,0.2,1年,1.00元/5次,0.2,0.0,银行卡 四 要素 银行卡 四 要素 查询 银行卡 四 要素 验证 银行卡 四 要素 API 银行卡 四 要素 实名 认证 核验 姓名 身份证号 手机号 银行卡 号 四 要素 是否 一致 直连 银联 实时 校验 支持 所有 带 银联 标识 银行卡,1,0
微购儿社区团购直播带货小程序,微购儿社区团购小程序是一款服务社区/城镇商家和居民的线上销售平台，社区/城镇居民可以通过线上下单采购物品，由商家统一配送到社区提货处，居民根据订单提取物品即可。社区团购的模式具备聚合人群，线上体验好；信任感强，易推广；无中间商赚差价，利润高；商家社区合作共赢的优势。,,0.0,7天,营销版+小程序直播,营销版+小程序直播,2.0,社区 团购 小程序 一款 服务 社区 城镇 商家 居民 线上 销售 平台 社区 城镇居民 线 单 采购 物品 商家 统一 配送 社区 提货 处 居民 订单 提取 物品 即可 社区 团购 模式 具备 聚合 人群 线上 体验 好 信任感 强易 推广 无 中间商 赚 差价 利润 高 商家 社区 共 赢 优势,1,3
VIN码查询-车辆VIN码解析-车架号查询-VIN查询-车辆信息查询-VIN码解析,【VIN查询车辆信息VIN码解析VIN码车架号查询车辆识别码】传入17位车辆识别码（车架号）VIN码来获取车辆的品牌、车型年款、出厂日期、发动机类型、排量、车系等多维度车辆参数。覆盖超全，实时更新，查得九成以上。另有聚美车系大全可以匹配使用。—— 我们只做精品！,,0.08,1年,2.00元/25次,0.08,0.0,VIN 查询 车辆 信息 VIN 解析 VIN 车架号 查询 车辆 识别码 传入  位 车辆 识别码 车架号 VIN 码来 获取 车辆 品牌 车型 年款 出厂日期 发动机 类型 排量车 系等 多维度 车辆 参数 覆盖 超全 实时 更新 查 九成 以上 另有 聚美 车系 大全 匹配 只 做 精品,1,3
手机号三要素实名认证-手机号三要素认证-手机号三要素验证-手机号实名认证,手机号三要素实名认证-手机号三要素认证-手机号三要素验证-手机号实名认证，输入姓名、身份证号、手机号，运营商官方权威核查，实时校验此三要素是否一致，支持携号转网，权威可靠全面覆盖移动、联通、电信三网运营商，数据安全。,,0.333333,1年,1.00元/3次,0.333333,0.0,手机号 三要素 实名 认证 手机号 三要素 认证 手机号 三要素 验证 手机号 实名 认证 输入 姓名 身份证号 手机号 运营商 官方 权威 核查 实时 校验 三要素 是否 一致 支持 携号 转网 权威 可靠 全面 覆盖 移动 联通 电信 三网 运营商 数据安全,1,3
【明星产品】建站之星营销网站,30G空间 ，五站合一，超64种营销推广工具,营销网站,144.0,1个月,营销版【五站合一】,营销版【五站合一】,2.0,G 空间 五 站 合一 超  营销 推广 工具,1,3
快递鸟单号查询API接口,快递鸟为有系统化物流管理的企业提供标准化的国内、国际API数据接口，供小程序、APP、需实时返回物流轨迹信息即查即走，输入运单编号立即获取物流最新轨迹，无需快递编码，自动识别物流公司，返回物流轨迹。,快递查询，快递查询接口，快递单号查询，快递100家,0.033333,1年,"100.00元/3,000次",0.033333,0.0,快递 鸟为 系统化 物流 管理 标准化 国内 国际 API 数据 接口 供 小程序 APP 需 实时 返回 物流 轨迹 信息 即查 走 输入 运单 编号 立即 获取 物流 最新 轨迹 无需 快递 编码 自动识别 物流 返回 物流 轨迹,1,3
云自助模板建站（即开即用，极简管理，完美展示）,【下单自动开通，后台登录：已购产品与服务—管理—免登地址】PC+手机+微信+小程序，百套行业经典模板样式，随意切换。 后台傻瓜式管理+专业售后1v1指导+帮助中心，轻松DIY。咨询热线：15258361059,手机网站，企业网站，营销网站，微信网站，H5网站,588.0,1年,旗舰版,旗舰版,2.0,下单 自动 开通 后台 登录 已购 产品 服务 管理 免登 地址 PC 手机 微信 小程序 百套 行业 经典 模板 样式 随意 切换 后台 傻瓜式 管理 专业 售后 v 指导 帮助 中心 轻松 DIY 咨询 热线 ,1,0
【可待云-餐饮行业解决方案】智慧化解决餐饮行业难题,可待餐饮行业问题解决方案，预约取号，扫码取餐，门店管理，营销拓客……支持多商户连锁餐饮，更智能的解决餐饮行业难题。,定制APP，小程序定制，苹果APP，安卓APP，餐饮APP,1200.0,1个月,智能排号+语音播报系统,智能排号+语音播报系统,2.0,可待 餐饮行业 问题 解决方案 预约 取号 扫码 取餐 门店 管理 营销 拓客 支持 商户 连锁 餐饮 更 智能 解决 餐饮行业 难题,1,0
壹佳店·同城社区 o2o小程序,同城社区/o2o商圈/信息分类小程序， 50+技术团队，个性化需求支持定制开发。商户入驻、求职招聘、二手买卖、顺风车、黄页信息、LBS定位、商圈管理、订单管理、商家手机管理、积分商城、广告收费、同城商城、活动报名、城市分站、合伙人分销、门店核销，超级名片、同城资讯、任务平台；,,680.0,1年,旗舰版,旗舰版,2.0,城 社区 oo 商圈 信息 分类 小程序  技术 团队 个性化 需求 支持 定制 开发商 户 入驻 求职 招聘 二手买卖 顺风 车 黄页 信息 LBS 定位 商圈 管理 订单 管理 商家 手机 管理 积分 商城 广告 收费 城 商城 活动 报名 城市 分站 合伙人 分销 门店 核销 超级 名片 城 资讯 任务 平台,1,0
身份证实名认证-身份证二要素一致性验证-身份证实名核验,身份证实名一致性验证，身份证实名核验，身份证二要素，身份证验证，身份证一致性验证，身份证验证，实名认证，通过身份证号码和姓名来校验是否一致，同时解析，省份、城市、性别等信息。,身份认证,0.16,1年,16.00元/100次,0.16,0.0,身份证 实名 一致性 验证 身份证 实名 核验 身份证 二要素 身份证 验证 身份证 一致性 验证 身份证 验证 实名 认证 身份证 号码 姓名 校验 是否 一致 解析 省份 城市 性别 信息,1,0
