name,desc,tags,price,cicle,spec,new_spec,pay_type
运营商手机在网时长-三网手机在网时长-三网运营商入网时长-三网手机在网时长查询（支持携号转网）,【运营商手机号在网时长手机在网时长】传入手机号码，查询该手机号的在网时长，返回时间区间，支持携号转网号码查询。（温馨提示：运营商通道质量差异较大，可多找样本测试比较。聚美仅提供优质实时运营商通道，准确率99.99%，无需复核，需要低价非实时通道可另行选择） —— 我们只做精品！,,0.2,1年,1.00元/5次,0.2,0
企微管家：标准版,提供丰富智能化工具，高效管理人员与应用,企业微信，客户管理,365000,7天,标准版（限60人使用）,标准版（限60人使用）,2
微购儿房产中介小程序二手房买卖房屋出租预约看房,微购儿 微信房产小程序支持在线售房二手房买卖中介出租功能小程序，微购儿小程序 无需代码 一键生成 瞬间拥有！,,0,7天,旗舰版,旗舰版,2
微盛零售门店小程序,覆盖周边五公里，拓展销售渠道,零售，多门店,1000,1年,c6-增选1门店,c6-增选1门店,2
分销商城小程序+APP（直播+手机管理后台）,功能：直播、手机端管理后台、可视化DIY、秒杀、拼团、砍价、抽奖、裂变红包、三级分销、商品预售、超级会员卡、优惠券、积分商城等30余款营销功能。百度小程序、抖音头条小程序、支付宝小程序、微信小程序，云尚航歌商城，小程序+APP，无需开发一键启用，心归零快速搭建！,电商，超市，零售，多门店，O2O，拼团，扫码买单,104.2857143,7天,基础版,基础版,2
Windows 10 专业版 64位 中文版 21H1版win10 ,windows 10 专业版 64位 中文版纯净系统，版本号 21H1。此为2021年8月20日最新发布的win10系统。win10相比win11更加流畅。操作系统补丁已经更新至2021年8月22日0时。专业版功能强大，适用于任意场景。经过腾讯云漏扫无安全漏洞。,,0,-1,-1,-1,
H5响应式建站【多端适配】,"网站一律自适应 ①五站合一（电脑/平板/手机/微信/小程序）一个后台管理多个终端。②标配云服务器，赠送二级域名，赠送SSL加密证书。
③1对1专属服务，提供备案服务 ④模板库：www.71net.com/jianzhan/template ",手机网站，企业网站，营销网站，微信网站，H5网站,1204.5,30天,标准版,标准版,2
运营商实名认证-手机三要素实名认证-三网手机实名认证-手机号三要素验证-手机三要素验证-手机实名认证,【低至0.2】【运营商实名认证-三网手机实名认证-运营商三要素验证-三网手机号实名认证-运营商三要素核验-手机号三要素实名认证-手机三要素实名认证-三网手机实名认证-手机号三要素验证-手机三要素验证-手机实名认证-运营商实名认证】通过手机号、真实姓名、身份证号来校验三者是否一致。,,0.22,1年,2.20元/10次,0.22,0
手机三要素认证-手机三要素验证-手机三要素认证API-手机三要素验证接口,手机三要素认证-手机三要素验证-手机三要素认证API-手机三要素验证接口，输入手机号、姓名和身份证号，通过官方权威核查，实时校验此三要素是否一致，支持三大运营商，支持携号转网，实时查询，直连官方,,0.333333,1年,1.00元/3次,0.333333,0
微宝阁智能酒店 智能预定  线上线下互引流  酒店服务小程序,微宝阁小程序覆盖各行业微信小程序，提供全方位的小程序成新解决方案主要包括电商、o2o服务、餐饮外卖、预约排队、运动健身、婚纱摄影等,酒店,36.5,10天,智慧酒店版,智慧酒店版,2
空号检测,【手机号空号检测】通过手机号码查询其在网活跃度，返回包括空号、实号、停机、库无、沉默号、风险号等状态。运营商接口，非缓存库，准确率90%以上，欢迎测试选购。—— 我们只做精品！,,0.008,1年,2.00元/250次,0.008,0
微购儿餐饮外卖商家入驻连锁门店管理小程序,购儿绿色通道：购买正式版，支持免费进行微信认证，节省300元/年。 核心功能：美食吃货直播、餐饮平台商家入驻，商家独立管理后台，支持餐饮公众号版本，支持精确定位，数十款营销和工具，支持对接同城配送系统，如蜂鸟配送，达达配送，顺丰配送等，微购儿小程序，无需代码 一键生成 瞬间拥有！,,0,7天,餐饮单店版+商家手机管理端,餐饮单店版+商家手机管理端,2
壹佳店·同城跑腿,同城跑腿,,680,1年,旗舰版,旗舰版,2
IT互联网行业模板 - 友好速搭,友好速搭企业官网建站，无需开发与设计，60秒上线高品质网站，多类行业模板，跨屏适配 PC、平板、手机和微站、小程序，随心所欲调整布局，无处不在的流畅体验。,IT互联网,12,1个月,标准版,标准版,2
直播分销商城社交系统私域营销小程序,功能：短视频带货，直播带货，多商家入驻，多门店，微信客服，手机版客服，三级分销，秒杀，拼团，优惠券，积分、商品海报、在线预约、视频宝贝等，航网销冠小程序帮你轻松玩转微信社交电商，无需开发一键启用，DIY店铺模板，快速搭建小程序。,电商，超市，零售，多门店，多商户,52.14285714,7天,正式版,正式版,2
【2月特惠】短信验证码-三网短信通知-短信接口-短信API-验证码接口-短信,短信验证码接口适用于注册登录、找回密码、支付验证、会员通知提醒等场景，支持三大运营商，快至3秒可达，99%到达率。不留存客户数据，为您提供稳定高效的数据接口和行业解决方案。申请短信模板需提供营业执照审核【短信营销、短信接口、短信验证码、短信通知、短信群发、70字短信】,,0.04,1年,1.00元/25次,0.04,0
H5响应式网站【高效建站，实时开通】,网站一律自适应 ①五站合一（电脑/平板/手机/微信/小程序）一个后台管理多个终端。②标配云服务器，赠送二级域名，赠送SSL加密证书。 ③1对1专属服务，提供备案服务 ④模板库：www.71net.com/jianzhan/template ,,12.16666667,30天,标准版（响应式）,标准版（响应式）,2
[安全、稳定、高效]身份证实名认证,【身份证实名认证-身份证二要素验证】输入姓名、身份证号码两项数据进行验证，根据公安系统实际验证结果反馈一致、不一致或其他错误原因。作为权威的数据服务平台，我们提供更可靠、安全、高效的验证环境,,0.016667,1年,1.00元/60次,0.016667,0
有调易店多商户电商小程序,"购买正式版，支持免费进行微信认证，节省300元/年。支持免费申请0.3微信支付税率商户号。
核心功能：三级分销、直播、手机端管理、DIY设计、批发、多商户、会员、拼团、秒杀、砍价、表单、卡密等。集公众号、H5、微信、百度、支付宝、字节跳动七个渠道为一体。
赠送一对一售后服务支持。",电商，超市，零售，多商户，小程序商城,1880,1年,体验版,体验版,2
银行卡实名认证-银行卡实名认证二要素-银行卡实名认证三要素-银行卡实名认证四要素-银行卡实名认证,银行卡实名认证-银行卡-银行卡实名认证-银行卡实名-银行卡实名认证-银行卡二三四实名认证-银行卡四要素实名认证-银行卡三要素实名认证-银行卡二要素实名认证-银行卡实名校验，银行卡全能校验。直连银联，权威核验。【传入银行卡、姓名、身份证、手机号此四要素校验是否一致。】,,0.166667,1年,1.00元/6次,0.166667,0
快启获客智能营销云平台,公司开发、运营的快启智慧销售平台，致力于用大数据和人工智能（AI）技术，为销售获取和管理客户，帮助企业提升效率、增加营收。快启通过对全网企业数据挖掘、分析和重构，建立了亿级企业信息数据库。快启智能AI机器人帮助销售快速触达。快启CRM智能客户管理，盘活资源。,CRM，营销自动化，获客，机器人,27580,1年,快启获客云平台年版2线路,快启获客云平台年版2线路,2
快递物流单号查询-快递查询-快递物流查询-快递单号查询-自动识别单号-快递轨迹单号查询标准版,【快递查询物流查询快递物流单号查询】自动识别快递公司，支持一千多家快递公司，覆盖顺丰、申通、圆通、宅急送、韵达、中通、百世、天天、四通一达、京东、EMS等快递物流公司，与官网同步数据更新。—— 我们只做精品！,,0.005,1年,2.00元/400次,0.005,0
企业官网-商城营销套餐（送分站推广）,建站宝盒，只做有用的网站，打造企业/商家自有的电商平台，24h在线卖货。 支持支付宝、微信等支付方式，页面SEO智能优化收录快。专属会员系统，随时管理客户数据，提高运营效率。海量网站模板任意切换，一键安装套用。  咨询电话>>18928068270,企业网站，B2C商城，商城网站,19152,1个月,企业商城网站套餐,企业商城网站套餐,2
微购儿服装商城小程序,微购儿绿色通道：购买正式版，支持免费进行微信认证，节省300元/年。 核心功能：微信手机客服、单商户销售、多商户入驻、商家手机管理后台、DIY首页排版设计、三级分销、拼团秒杀砍价、积分商城优惠券、、服务预约表单、商品主图视频、微购儿小程序 无需代码 一键生成 瞬间拥有！,,0,7天,基础版+微信手机客服,基础版+微信手机客服,2
同城信息发布社区圈子商家入驻招聘,微购儿同城信息小程序是一款专注于本地大型生活服务平台，同城资讯、商家入驻、便民黄页、求职招聘、房屋租赁、同城交友、同城租车、电商零售、服务预约应有尽有，为城市创业者提供一站式解决方案，为小程序用户提供同城便捷服务。,,0,7天,商家入驻销售版,商家入驻销售版,2
身份证识别-身份证OCR识别-身份证正反面识别-身份证照片识别,【传入身份证照片，识别照片文字信息并返回，包括姓名、身份证号码、性别、民族、出生年月日、地址、签发机关及有效期。】身份证正面图片识别-身份证正反面识别-身份证OCR识别-身份证照片文字识别。支持各种图片格式。,图像识别，数据应用，证件识别，实名认证,0.02,1年,1.00元/50次,0.02,0
销冠餐饮小程序·扫码点餐外餐小程序,功能：单店外卖小程序版、多店商家版、三级分销、会员卡、发券宝、多商户入驻、票务、集赞拓客、裂变红包、砍价、拼团、秒杀、抽奖、直播、社区团购、限时抢券、消息推送、卡密串码、分享海报、主体配色会员卡、卡券、等功能持续开发。,外卖，餐饮，扫码买单，预约，一桌一码，扫码点餐，排队，打印小票,52.14285714,7天,正式版,正式版,2
至信链存证,至信链由腾讯、中国网安、枫调理顺三家企业联合建设的可信存证区块链平台，已有十余家社会各界公信力机构作为节点加入。至信链可为信息互联网提供各类“信任”解决方案，通过区块链技术，联通信息社会下的商业端与司法端，搭建了从电子数据到电子证据的可信通道，实现电子数据可信保存、合法使用。,,10000,1年,3万条存证套餐包,3万条存证套餐包,2
有哒同城城市电商平台,"购买正式版，支持免费进行微信认证，节省300元/年。支持免费申请0.3微信支付税率商户号。
核心功能：公众号+小程序双端引流、发帖、分销、拼团、砍价、会员、多商户、直播、相亲交友、家政服务、同城配送、求职招聘、顺风车、三方票务等。
赠送一对一售后服务支持。",多商户，O2O，扫码买单，同城，发帖,207528.5714,7天,标椎版,标椎版,2
人脸身份证比对-人证比对-人脸识别-人脸比对,"【传入姓名、身份证号和一张人像照片，与公安库身份证信息进行比对，返回比对分值。 】人证比对、人脸认证、人像对比、实人认证、活体识别、人证合一、人脸比对、刷脸认证、真人认证。【官方直连数据，服务稳定，实时更新】
",,0.1,1年,1.00元/10次,0.1,0
壹佳店·电商零售+多门店+多商户+各行业小程序,一键生成小程序。50+技术团队，个性化需求支持定制开发。单店多店/自营多商户通用；会员拉新、充值、卡券、积分、优惠券、红包、抽奖、拼团、预约、秒杀、砍价、等级分销、社区团购，全行业解决方案；,,680,1年,旗舰版,旗舰版,2
三网手机实名认证-手机号认证-手机号验证-运营商实名认证-运营商三要素实名认证,三网手机实名认证-手机号认证-手机号验证-运营商实名认证-运营商三要素实名认证-手机号三要素实名认证-手机三要素验证，输入手机号、姓名和身份证号，通过运营商官方权威核查，实时校验此三要素是否一致，支持三大运营商，支持携号转网。,,0.25,1年,1.00元/4次,0.25,0
银行卡四要素-银行卡四要素查询-银行卡四要素验证-银行卡四要素API-银行卡四要素实名认证,"银行卡四要素-银行卡四要素查询-银行卡四要素验证-银行卡四要素API-银行卡四要素实名认证，核验 ""姓名+身份证号+手机号+银行卡号"" 四要素是否一致。 直连银联实时校验，支持所有带银联标识的银行卡。",,0.2,1年,1.00元/5次,0.2,0
云-H5响应式模板建站（送推广）,"耐思智慧为您提供企业官网搭建，覆盖PC+手机站+平板站+微站四大平台，无需代码，仅需拖拽，即可快速完成高质量网站。建站即送推广，免费领取10个分站推广，让更多客户找到你。独立电商平台，支持在线支付，随时管理后台客户，助您提高网站业绩。咨询热线：18928068270
",手机网站，H5网站，模板建站,1998,1年,四站合一商城套餐（新增中国香港节点）,四站合一商城套餐（新增中国香港节点）,2
微购儿社区团购直播带货小程序,微购儿社区团购小程序是一款服务社区/城镇商家和居民的线上销售平台，社区/城镇居民可以通过线上下单采购物品，由商家统一配送到社区提货处，居民根据订单提取物品即可。社区团购的模式具备聚合人群，线上体验好；信任感强，易推广；无中间商赚差价，利润高；商家社区合作共赢的优势。,,0,7天,营销版+小程序直播,营销版+小程序直播,2
VIN码查询-车辆VIN码解析-车架号查询-VIN查询-车辆信息查询-VIN码解析,【VIN查询车辆信息VIN码解析VIN码车架号查询车辆识别码】传入17位车辆识别码（车架号）VIN码来获取车辆的品牌、车型年款、出厂日期、发动机类型、排量、车系等多维度车辆参数。覆盖超全，实时更新，查得九成以上。另有聚美车系大全可以匹配使用。—— 我们只做精品！,,0.08,1年,2.00元/25次,0.08,0
有哒优生活城市电商,购买正式版，支持免费进行微信认证，节省300元/年。支持免费申请0.3微信支付税率商户号。核心功能：公众号+小程序双端引流、DIY页面设计、分销、优惠券、秒杀、会员、砍价、拼团、直播、DIY装修、多商户、花费充值、三方票务、在线买单、表单功能。赠送一对一售后服务支持。,电商，零售，多商户，拼团，直播商城,98028.57143,7天,基础营销微信小程序版,基础营销微信小程序版,2
微宝阁营销多样SCRM商城小程序多场景活码聚粉运动场馆运动器材服饰预约到店,杏林信息助力海外电商小程序，可直接使用海外支付方式进行支付，免税店，韩国小程序，香港小程序等全货币支付方式；主要包括电商、o2o服务、餐饮外卖、预约排队、运动健身、婚纱摄影等；核心功能：三级分销、积分抽奖、拼团砍价新玩法，快速吸引粉丝,电商，零售，O2O,73,10天,SCRM系统,SCRM系统,2
手机号三要素实名认证-手机号三要素认证-手机号三要素验证-手机号实名认证,手机号三要素实名认证-手机号三要素认证-手机号三要素验证-手机号实名认证，输入姓名、身份证号、手机号，运营商官方权威核查，实时校验此三要素是否一致，支持携号转网，权威可靠全面覆盖移动、联通、电信三网运营商，数据安全。,,0.333333,1年,1.00元/3次,0.333333,0
银行卡三要素-银行卡三要素实名认证-银行卡实名认证-银行卡三要素认证-银行卡三要素验证,"银行卡三要素-银行卡三要素实名认证-银行卡实名认证-银行卡三要素认证-银行卡三要素验证-银行卡三要素鉴权-银行卡三要素核验，核验 ""姓名+身份证号+银行卡号"" 三要素是否一致。 直连银联实时校验，支持所有带银联标识的银行卡。",,0.2,1年,1.00元/5次,0.2,0
【明星产品】建站之星营销网站,30G空间 ，五站合一，超64种营销推广工具,营销网站,144,1个月,营销版【五站合一】,营销版【五站合一】,2
电商零售行业模板 - 友好速搭,友好速搭商城建站，无需开发与设计，60秒上线高品质网站，多类行业模板，跨屏适配 PC、平板、手机和微站、小程序，随心所欲调整布局，无处不在的流畅体验。,电商零售,12,1个月,专业版,专业版,2
快递鸟单号查询API接口,快递鸟为有系统化物流管理的企业提供标准化的国内、国际API数据接口，供小程序、APP、需实时返回物流轨迹信息即查即走，输入运单编号立即获取物流最新轨迹，无需快递编码，自动识别物流公司，返回物流轨迹。,快递查询，快递查询接口，快递单号查询，快递100家,0.033333,1年,"100.00元/3,000次",0.033333,0
云自助模板建站（即开即用，极简管理，完美展示）,【下单自动开通，后台登录：已购产品与服务—管理—免登地址】PC+手机+微信+小程序，百套行业经典模板样式，随意切换。 后台傻瓜式管理+专业售后1v1指导+帮助中心，轻松DIY。咨询热线：15258361059,手机网站，企业网站，营销网站，微信网站，H5网站,588,1年,旗舰版,旗舰版,2
微购儿社区团购分销商城视频号营销小程序,微购儿社区团购小程序是一款服务社区/城镇商家和居民的线上销售平台，社区/城镇居民可以通过线上下单采购物品，由商家统一配送到社区提货处，居民根据订单提取物品即可。社区团购的模式不仅符合疫情环境下群众生活物品采买需求，助力商家实现销量增长的同时，还能为居民提供便捷采购服务。,,52.14285714,7天,营销版+小程序直播,营销版+小程序直播,2
【可待云-餐饮行业解决方案】智慧化解决餐饮行业难题,可待餐饮行业问题解决方案，预约取号，扫码取餐，门店管理，营销拓客……支持多商户连锁餐饮，更智能的解决餐饮行业难题。,定制APP，小程序定制，苹果APP，安卓APP，餐饮APP,1200,1个月,智能排号+语音播报系统,智能排号+语音播报系统,2
壹佳店·同城社区 o2o小程序,同城社区/o2o商圈/信息分类小程序， 50+技术团队，个性化需求支持定制开发。商户入驻、求职招聘、二手买卖、顺风车、黄页信息、LBS定位、商圈管理、订单管理、商家手机管理、积分商城、广告收费、同城商城、活动报名、城市分站、合伙人分销、门店核销，超级名片、同城资讯、任务平台；,,680,1年,旗舰版,旗舰版,2
身份证实名认证-身份证二要素一致性验证-身份证实名核验,身份证实名一致性验证，身份证实名核验，身份证二要素，身份证验证，身份证一致性验证，身份证验证，实名认证，通过身份证号码和姓名来校验是否一致，同时解析，省份、城市、性别等信息。,身份认证,0.16,1年,16.00元/100次,0.16,0
健康码识别,【健康码识别-健康码文字识别-健康结果输出】传入健康码照片，识别照片上的更新时间，健康码颜色，核酸检测间隔时长，核酸检测时间，疫苗接种情况，疫苗接种时间等。,OCR，健康码识别，健康码文字识别,0.06,1年,6.00元/100次,0.06,0
银行卡归属地查询-银行卡（卡Bin）归属地-银行卡归属地--银行卡开户行归属地-银行卡归属地,【银行卡归属地查询-银行卡卡bin查询-银行卡开户行查询银行卡归属地解析】通过银行卡号查询该银行卡详细信息，包括卡名称、银行卡卡种、卡品牌、银行卡发卡行、编号以及归属地等信息，支持1000多种银行卡查询，同时可校验银行卡真伪。—— 我们只做精品！,,0.006667,1年,1.00元/150次,0.006667,0
银行卡四要素-银行卡四元素-银行卡实名认证-银行卡核验 【天眼数聚】,验证开卡人银行卡卡号、身份证号码、姓名、手机号是否一致。可点击店铺名称查看全部接口。,,0.2,1年,2.00元/10次,0.2,0
手机三要素实名认证,【手机三要素实名认证运营商手机三要素】输入姓名、身份证号码、手机号码，验证此三项是否匹配，返回验证结果。（温馨提示：运营商三要素质量差异较大，可多找样板测试比较。聚美仅提供优质纯实时运营商通道，准确率99.9%以上，无需复核，如需低价非实时通道可另行选购）—— 我们只做精品！,,0.333333,1年,2.00元/6次,0.333333,0
银行卡二要素-银行卡二要素实名认证-银行卡实名认证-银行卡二要素验证-银行卡二要素认证-银行卡认证,"银行卡二要素-银行卡二要素实名认证-银行卡实名认证-银行卡二要素验证-银行卡二要素认证-银行卡认证，核验 ""姓名+银行卡号"" 二要素是否一致。 直连银联实时校验，支持所有带银联标识的银行卡。",,0.2,1年,1.00元/5次,0.2,0
定制网上管家婆网店ERP版本,整合了进销存、网店订单处理、仓储物流和财务等应用，无论是单网店 、多平台多网店还是线上线下业务一体化，网上管家婆网店ERP系列均可帮助客户实现运营效率的大幅提升。,,0,7天,1网店1用户,1网店1用户,2
圈量SCRM,圈量是前微信产品团队成员基于企业微信开发的营销SCRM，低成本快速搭建私域流量，提供工具整合获客营销。,CRM,3000,1年,基础版（5账号）,基础版（5账号）,2
杏林信息海外代购营销商城引流电商零售小程序,杏林信息小程序覆盖各行业微信小程序，提供全方位的小程序成新解决方案主要包括电商、o2o服务、餐饮外卖、预约排队、运动健身、婚纱摄影等；核心功能：三级分销、积分抽奖、拼团砍价新玩法，快速吸引粉丝,电商，小程序商城，商城,104.2857143,7天,普通版,普通版,2
有调渠道电商,"购买正式版，支持免费进行微信认证，节省300元/年。支持免费申请0.3微信支付税率商户号。
核心功能：DIY页面装修、分销、会员、直播、拼团、砍价、短视频、拍卖、多商户、积分商城、优惠券、礼品卡、小票打印、积分商城、夺宝、充值、文章等。
赠送一对一售后服务支持。",电商，拼团，小程序商城，短视频，拍卖,51517.14286,7天,基础版,基础版,2
精线索,精线索通过对全网企业数据挖掘、分析和重构，建立了亿级企业信息数据库。基于ToB销售在获客、育客、留客的各个场景，实现智能精细化线索获取、自动化客户跟进和分类客户管理。帮助销售拓展客户资源、快速触达关键人员、提升成单效率，从而降低ToB企业获客成本，提升销售业绩。,大数据，获客，客户管理，智能筛选，企业数据,650,1年,10工号5W条/月,10工号5W条/月,2
Windows 11 专业版 64位中文版 win11 V21H2【2023年更新】,Windows 11 已于2021年10月5日正式发布。本镜像为最新正式版Windows11【专业版】64位中文版纯净系统，系统版本号21H2，截止2023年1月14日已安装所有更新补丁。镜像完美兼容腾讯云CVM，相比Windows10速度更快更加流畅。,,0,-1,-1,-1,
【万维易源】-全国新闻查询接口-热门头条-新闻API,多频道，本接口仅限于内部数据分析统计，不得用于终端展示。版权问题需要您联系新闻发布者获取。为保证数据的及时性，每5-10分钟刷新一次【已获“国家二级等保”，安全更有保障】,,0.0009,1年,"9.00元/10,000次",0.0009,0
身份证实名认证-身份证二要素验证-身份证实名验证-身份号码验证-身份证号码认证-身份证认证,【身份证实名认证-身份证二要素实名认证-身份证认证】传入姓名、身份证号，校验此二要素是否一致，同时解析，省份、城市、性别。安全稳定，直连官方实时核验【身份证二要素验证、身份证实名API、实名认证接口、身份证号码验证、身份证号码检测、身份证号码认证、身份证号码实名认证、身份证核验】,,0.016667,1年,1.00元/60次,0.016667,0
微盛·企业小程序,形象宣传  移动名片 全行适用,企业官网,3000,1年,b9-高级版,b9-高级版,2
获客星球企业品牌数字化新官网,"生意再小，数字官网必不可少，颠覆传统建站，重新定义企业官网，具备官宣（官方宣传）、物料（数字内容）、链接（数字渠道）、数据（数据私有）等四大基础数字化能力，以满足“业务在线、用户在线、成员在线，数据归集”的数字化综合运营需求的新型官方网站。
",手机网站，企业网站，营销网站，微信网站，小程序官网,100,1年,专业版（标准对接版）,专业版（标准对接版）,2
在网状态查询-三网运营商手机在网状态查询-手机号码在网状态查询-停机查询,在网状态查询-三网运营商手机在网状态查询-手机号码在网状态查询-停机查询输入手机号，通过运营商官方权威实时查询该手机号在网状态，支持三大运营商。多用于精准营销、风控审核等场景。,,0.066667,1年,1.00元/15次,0.066667,0
法大大电子合同SaaS服务（企业版）,法大大是国内领先的电子合同与电子签名云服务商，为企业、政府机构及个人提供实名认证、证书签发、文件签署及校验、合同管理、印章管理、证据保全、公证出证、线上纠纷处置、法律咨询及律师服务，实现合同全生命周期的线上闭环。,,2998,1年,1000份,1000份,2
【万维易源】-ISBN图书信息查询-ISBN图书查询-ISBN图书查询API接口,通过国际图书号查询图书相关信息，目前只支持查询978开头的图书号和部分上世纪8/90年代的10位isbn编码图书。可查询到的基本信息包含：书名、作者、出版社、价格、出版日期、印次、装帧方式，畅销热度等【已获“国家二级等保”，安全更有保障】,,0.018,1年,"18.00元/1,000次",0.018,0
小程序商城,拼团小程序，秒杀小程序，砍价小程序，新零售小程序，超市小程序，生鲜小程序，微商小程序，微信小程序，百度小程序，支付小程序，电商小程序，各行业小程序一站式开发！,电商，零售，门店，小程序商城，小程序,469.2857143,7天,标准版,标准版,2
手机二要素实名认证,【手机二要素实名运营商手机号实名认证】传入姓名、手机号码，校验此两项是否一致。直连三大运营商权威核验。（温馨提示：运营商通道质量差异较大，可多找样本测试比较。聚美仅提供优质纯实时运营商通道，验证准确无误，无需复核，需要低价非实时通道可另行选择）——我们只做精品！,,0.2,1年,1.00元/5次,0.2,0
【高端定制】企业网站建设企业官网电商网站定制开发一条龙,高端人工服务个性化定制建站，专业企业网站 / 营销网站 / 手机网站 / 微信网站 / H5网站 / 电商网站五合一条龙全包服务，为企业打造全渠道营销链路。请您先与我们客服联系，我们将为您量身打造至佳定制建站方案：Tel：189-8854-8058 或微信：feimakeji 。,社区论坛，信息门户，企业展示，电商系统，其他网站定制,1800,1次,标准定制套餐  l  包网站内容填充和广告设计,标准定制套餐  l  包网站内容填充和广告设计,1
云游码—智慧旅游服务平台,"云游码泛文旅游客服务平台，以围绕“地域文化”为特色，实现“资源有机整合、服务全域配套、治理全域覆盖、产业融合发展”为核心，对全域旅游省市县级、文旅集团等，提供的Saas平台解决方案，以微信小程序为核心，赋能泛文旅产业，致力于构建数字化旅游生态系统。
注：素材运营服务为按次收费",,5000,1年,标准版,标准版,2
手机号三要素实名认证-运营商三要素实名认证-手机三要素实名认证-手机实名认证,手机三要素实名认证-运营商三要素实名认证-三要素实名认证-三网手机实名认证-运营商实名认证-运营商三要素实名认证-手机号实名认证-手机实名认证-三要素实名认证-三要素实名认证-实名认证-手机三要素实名认证【传入手机号、姓名、身份证号来校验此三项是否一致，此接口支持携号转网】,实名认证，手机认证，手机三要素，手机实名认证，手机号实名认证,0.333333,1年,1.00元/3次,0.333333,0
